adr_term,adr_synonyms,meddra_code,adr_term_lower
Nystagmus,"Dissociated nystagmus | Latent nystagmus | Nystagmus | Nystagmus and other irregular eye movements | Nystagmus associated with disorders of the vestibular system | Nystagmus NOS | Nystagmus, unspecified | Other forms of nystagmus | Visual deprivation nystagmus | Spasmus nutans | Gaze-evoked nystagmus | Rotational nystagmus | Nystagmus, Pathologic | Pathologic Nystagmus | Non-Fatigable Positional Nystagmus | Non Fatigable Positional Nystagmus | Nystagmus, Non-Fatigable Positional | Positional Nystagmus, Non-Fatigable | Permanent Nystagmus | Nystagmus, Permanent | Rebound Nystagmus | Nystagmus, Rebound | Retraction Nystagmus | Nystagmus, Retraction | Rotary Nystagmus | Nystagmus, Rotary | Rotational Nystagmus | Nystagmus, Rotational | See-Saw Nystagmus | Nystagmus, See-Saw | See Saw Nystagmus | Spontaneous Ocular Nystagmus | Nystagmus, Spontaneous Ocular | Ocular Nystagmus, Spontaneous | Symptomatic Nystagmus | Nystagmus, Symptomatic | Temporary Nystagmus | Nystagmus, Temporary | Unidirectional Nystagmus | Nystagmus, Unidirectional | Vertical Nystagmus | Nystagmus, Vertical | Conjugate Nystagmus | Nystagmus, Conjugate | Convergence Nystagmus | Nystagmus, Convergence | Dissociated Nystagmus | Nystagmus, Dissociated | Fatigable Positional Nystagmus | Nystagmus, Fatigable Positional | Horizontal Nystagmus | Nystagmus, Horizontal | Jerk Nystagmus | Nystagmus, Jerk | Multidirectional Nystagmus | Nystagmus, Multidirectional | Pendular Nystagmus | Nystagmus, Pendular | Periodic Alternating Nystagmus | Nystagmus, Periodic Alternating",10029864,nystagmus
Balance disorder,Balance difficulty | Balance impaired NOS | Disequilibrium syndrome | Disorder equilibrium | Dysequilibrium | Equilibrium disorder of (NOS) | Unsteadiness | Balance disorder | Equilibrium loss | Equilibrium trouble | Postural instability | Loss of balance,10049848,balance disorder
Vestibular disorder,Disorder vestibular | Vestibular abnormalities | Vestibular disorder | Vestibular disorder NOS | Vestibular function disorder | Central vestibular disorder | Peripheral vestibular disorder,10047386,vestibular disorder
Vestibular ataxia,Ataxia vestibular | Vestibular ataxia,10047385,vestibular ataxia
Developmental coordination disorder,"Developmental coordination disorder | Developmental coordination disorder NOS | Motor Skills Disorders | Motor Skills Disorder | Developmental Coordination Disorder | Coordination Disorder, Developmental | Developmental Coordination Disorders",10012557,developmental coordination disorder
Dysstasia,Astasia | Difficulty in standing | Dysstasia,10050256,dysstasia
Cerebellar ataxia,"Ataxia cerebellar | Cerebellar ataxia | Cerebellar ataxia in diseases classified elsewhere | Finger-nose ataxia | Other cerebellar ataxia | Acute cerebellar ataxia | Cerebellar Ataxia | Cerebellar Incoordination | Cerebellar Incoordinations | Incoordination, Cerebellar | Incoordinations, Cerebellar | Ataxia, Cerebellar | Ataxias, Cerebellar | Cerebellar Ataxias | Cerebellar Hemiataxia | Cerebellar Hemiataxias | Hemiataxia, Cerebellar | Hemiataxias, Cerebellar | Cerebellar Dysmetria | Cerebellar Dysmetrias | Dysmetria, Cerebellar | Dysmetrias, Cerebellar | Dysmetria | Dysmetrias | Hypermetria | Hypermetrias | Adiadochokinesis | Adiadochokineses",10008025,cerebellar ataxia
CANVAS syndrome,CANVAS syndrome | Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,10078216,canvas syndrome
Cerebellar cognitive affective syndrome,Cerebellar cognitive affective syndrome,10068768,cerebellar cognitive affective syndrome
Dysdiadochokinesis,Adiadokokinesis | Dysdiadochokinesis | Dysdiadokokinesis,10013896,dysdiadochokinesis
Hand-eye coordination impaired,Hand-eye coordination impaired,10072649,hand-eye coordination impaired
Lateropulsion,Lateropulsion,10081515,lateropulsion
Ocular dysmetria,Ocular dysmetria,10063534,ocular dysmetria
Saccadic eye movement,"Saccadic eye movement | Saccades | Saccade | Saccadic Eye Movements | Eye Movement, Saccadic | Eye Movements, Saccadic | Movement, Saccadic Eye | Movements, Saccadic Eye | Saccadic Eye Movement | Pursuit, Saccadic | Pursuits, Saccadic | Saccadic Pursuit | Saccadic Pursuits",10053694,saccadic eye movement
Secondary cerebellar degeneration,"Paraneoplastic cerebellar degeneration | Secondary cerebellar degeneration | Paraneoplastic Cerebellar Degeneration | Degeneration, Paraneoplastic Cerebellar | Cerebellar Syndrome, Paraneoplastic | Cerebellar Syndromes, Paraneoplastic | Paraneoplastic Cerebellar Syndromes | Paraneoplastic Cerebellar Syndrome | Cerebellar Degeneration, Paraneoplastic | Paraneoplastic Cerebellar Degeneration, Anti-Yo-Associated | Paraneoplastic Cerebellar Degeneration, Anti Yo Associated | Anti-Yo-Associated Paraneoplastic Cerebellar Degeneration | Anti Yo Associated Paraneoplastic Cerebellar Degeneration",10074943,secondary cerebellar degeneration
Cortical dysfunction NEC,Not Available,10011168,cortical dysfunction nec
Aphasia,"Anomia | Aphasia | Aphasia motor | Aphasia nominal | Aphasia sensory | Broca's aphasia | Dysphasia | Expressive aphasia | Expressive dysphasia | Fluent aphasia | Jargon aphasia | Nominal aphasia | Non-fluent aphasia | Receptive aphasia | Receptive dysphasia | Speech loss | Dysnomia | Amnesic aphasia | Amnestic aphasia | Word finding difficulty | Paraphasia | Nominal dysphasia | Global aphasia | Mixed aphasia | Expressive and receptive aphasia | Wernicke's aphasia | Aphasia, Amnesic | Amnesic Aphasia | Nominal Dysphasia | Dysphasia, Nominal | Dysphasias, Nominal | Nominal Dysphasias | Aphasia, Nominal | Nominal Aphasia | Dysnomias | Anomic Dysphasia | Anomic Dysphasias | Dysphasia, Anomic | Dysphasias, Anomic | Aphasia, Anomic | Anomic Aphasia | Color Anomia | Anomia, Color | Anomias, Color | Color Anomias",10002948,aphasia
Apraxia,"Apraxia | Constructional apraxia | Dressing apraxia | Gaze apraxia | Ideational apraxia | Ideomotor apraxia | Apraxia of eyelid | Swallowing apraxia | Apraxias | Dyspraxia | Dyspraxias | Apraxia, Articulatory | Apraxias, Articulatory | Articulatory Apraxia | Articulatory Apraxias | Dyspraxia, Articulatory | Articulatory Dyspraxia | Articulatory Dyspraxias | Dyspraxias, Articulatory | Apraxia, Developmental Verbal | Apraxias, Developmental Verbal | Developmental Verbal Apraxia | Developmental Verbal Apraxias | Verbal Apraxia, Developmental | Verbal Apraxias, Developmental | Speech-Language Disorder 1 | 1s, Speech-Language Disorder | Disorder 1, Speech-Language | Disorder 1s, Speech-Language | Speech Language Disorder 1 | Speech-Language Disorder 1s | Developmental Verbal Dyspraxia | Developmental Verbal Dyspraxias | Dyspraxia, Developmental Verbal | Dyspraxias, Developmental Verbal | Verbal Dyspraxia, Developmental | Verbal Dyspraxias, Developmental | Apraxia, Facial-Oral | Apraxia, Facial Oral | Apraxias, Facial-Oral | Facial-Oral Apraxia | Facial-Oral Apraxias | Speech And Language Disorder With Orofacial Dyspraxia | Ideational Apraxia | Apraxia, Ideational | Apraxias, Ideational | Ideational Apraxias | Apraxia, Motor | Apraxias, Motor | Motor Apraxia | Motor Apraxias | Apraxia, Oral | Apraxias, Oral | Oral Apraxia | Oral Apraxias | Dyspraxia, Oral | Dyspraxias, Oral | Oral Dyspraxia | Oral Dyspraxias | Apraxia, Verbal | Apraxias, Verbal | Verbal Apraxia | Verbal Apraxias | Dyspraxia, Verbal | Dyspraxias, Verbal | Verbal Dyspraxia | Verbal Dyspraxias | Dressing Apraxia | Apraxia, Dressing | Apraxias, Dressing | Dressing Apraxias | Apraxia of Phonation | Phonation Apraxia | Phonation Apraxias | Apraxia, Gestural | Apraxias, Gestural | Gestural Apraxia | Gestural Apraxias",10003062,apraxia
Brain death,"Brain death | Brain Death | Death, Brain | Brain Dead | Brain Deads | Coma Depasse | Irreversible Coma | Coma, Irreversible",10049054,brain death
Confusion postoperative,Confusion postoperative,10049987,confusion postoperative
Confusional state,"Acute confusion state | Acute confusional state | Acute onset of confusion | Bewilderment | Confused | Confusion | Confusion nocturnal | Confusion reversible | Confusion state | Confusional state | Confusional state (organic, acute or subacute) | Mental confusion | Nocturnal confusion | Reactive confusion | Subacute confusional state | Toxic confusional state | Confusion aggravated | Confusional State | Confusional States | State, Confusional | States, Confusional | Disorientation | Confusion, Reactive | Reactive Confusion | Confusion, Post-Ictal | Confusion, Post Ictal | Post-Ictal Confusion",10010305,confusional state
Dysgraphia,"Developmental writing disorder | Disorder of written expression | Writing impaired | Dysgraphia | Dystaxic writing | Agraphia | Agraphias | Dysgraphias | Constructional Agraphia | Agraphia, Constructional | Agraphias, Constructional | Constructional Agraphias | Acquired Agraphia | Acquired Agraphias | Agraphia, Acquired | Agraphias, Acquired | Acquired Dysgraphia | Acquired Dysgraphias | Dysgraphia, Acquired | Dysgraphias, Acquired | Developmental Agraphia | Agraphia, Developmental | Agraphias, Developmental | Developmental Agraphias | Developmental Dysgraphia | Developmental Dysgraphias | Dysgraphia, Developmental | Dysgraphias, Developmental | Pure Agraphia | Agraphia, Pure | Agraphias, Pure | Pure Agraphias",10058319,dysgraphia
Dyspraxia,"Dyspraxia | Speech apraxia | Apraxias | Dyspraxias | Apraxia | Apraxia, Articulatory | Apraxias, Articulatory | Articulatory Apraxia | Articulatory Apraxias | Dyspraxia, Articulatory | Articulatory Dyspraxia | Articulatory Dyspraxias | Dyspraxias, Articulatory | Apraxia, Developmental Verbal | Apraxias, Developmental Verbal | Developmental Verbal Apraxia | Developmental Verbal Apraxias | Verbal Apraxia, Developmental | Verbal Apraxias, Developmental | Speech-Language Disorder 1 | 1s, Speech-Language Disorder | Disorder 1, Speech-Language | Disorder 1s, Speech-Language | Speech Language Disorder 1 | Speech-Language Disorder 1s | Developmental Verbal Dyspraxia | Developmental Verbal Dyspraxias | Dyspraxia, Developmental Verbal | Dyspraxias, Developmental Verbal | Verbal Dyspraxia, Developmental | Verbal Dyspraxias, Developmental | Apraxia, Facial-Oral | Apraxia, Facial Oral | Apraxias, Facial-Oral | Facial-Oral Apraxia | Facial-Oral Apraxias | Speech And Language Disorder With Orofacial Dyspraxia | Ideational Apraxia | Apraxia, Ideational | Apraxias, Ideational | Ideational Apraxias | Apraxia, Motor | Apraxias, Motor | Motor Apraxia | Motor Apraxias | Apraxia, Oral | Apraxias, Oral | Oral Apraxia | Oral Apraxias | Dyspraxia, Oral | Dyspraxias, Oral | Oral Dyspraxia | Oral Dyspraxias | Apraxia, Verbal | Apraxias, Verbal | Verbal Apraxia | Verbal Apraxias | Dyspraxia, Verbal | Dyspraxias, Verbal | Verbal Dyspraxia | Verbal Dyspraxias | Dressing Apraxia | Apraxia, Dressing | Apraxias, Dressing | Dressing Apraxias | Apraxia of Phonation | Phonation Apraxia | Phonation Apraxias | Apraxia, Gestural | Apraxias, Gestural | Gestural Apraxia | Gestural Apraxias",10013976,dyspraxia
Amimia,Amimia,10053238,amimia
Dyslexia,"Alexia and dyslexia | Developmental dyslexia | Dyslexia | Dyslexia (excl learning disorder) | Dyslexias | Word Blindness | Blindness, Word | Blindnesses, Word | Word Blindnesses | Reading Disorder | Disorder, Reading | Disorders, Reading | Reading Disorders | Reading Disorder, Developmental | Developmental Reading Disorders | Disorder, Developmental Reading | Disorders, Developmental Reading | Reading Disorders, Developmental | Developmental Reading Disorder | Dyslexia, Developmental | Developmental Dyslexia | Developmental Dyslexias | Dyslexias, Developmental | Reading Disability, Developmental | Developmental Reading Disabilities | Developmental Reading Disability | Disabilities, Developmental Reading | Disability, Developmental Reading | Reading Disabilities, Developmental | Alexia | Alexias",10013932,dyslexia
Anosognosia,"Anosognosia | Lack of insight into disease | Anosodiaphoria | Agnosia | Agnosias | Agnosia for Smell | Olfactory Agnosia | Agnosia, Olfactory | Agnosias, Olfactory | Olfactory Agnosias | Agnosia for Taste | Agnosia for Tastes | Gustatory Agnosia | Agnosia, Gustatory | Agnosia for Temperature | Anosognosias | Auditory Agnosia | Agnosia, Auditory | Agnosias, Auditory | Auditory Agnosias | Auditory Agnosia, Congenital | Agnosia, Congenital Auditory | Agnosias, Congenital Auditory | Auditory Agnosias, Congenital | Congenital Auditory Agnosias | Congenital Auditory Agnosia | Body-Image Agnosia | Agnosia, Body-Image | Agnosias, Body-Image | Body Image Agnosia | Body-Image Agnosias | Developmental Agnosia | Agnosia, Developmental | Agnosias, Developmental | Developmental Agnosias | Finger Agnosia | Agnosia, Finger | Agnosias, Finger | Finger Agnosias | Ideational Agnosia | Agnosia, Ideational | Agnosias, Ideational | Ideational Agnosias | Position Agnosia | Agnosia, Position | Agnosias, Position | Position Agnosias | Sensory Agnosia | Agnosia, Sensory | Agnosias, Sensory | Sensory Agnosias | Somatosensory Agnosia | Agnosia, Somatosensory | Agnosias, Somatosensory | Somatosensory Agnosias | Tactile Agnosia | Agnosia, Tactile | Agnosias, Tactile | Tactile Agnosias | Time Agnosia | Agnosia, Time | Agnosias, Time | Time Agnosias | Topographical Agnosia | Agnosia, Topographical | Agnosias, Topographical | Topographical Agnosias | Visual Disorientation Syndrome | Syndrome, Visual Disorientation | Syndromes, Visual Disorientation | Visual Disorientation Syndromes | Visual Agnosia | Agnosia, Visual | Agnosias, Visual | Visual Agnosias | Visual Agnosia for Objects | Visuospatial Agnosia | Agnosia, Visuospatial | Agnosias, Visuospatial | Visuospatial Agnosias | Agnosia for Pain",10068346,anosognosia
Agnosia,"Agnosia | Astereognosis | Agraphesthesia | Dyschiria | Agnosias | Agnosia for Smell | Olfactory Agnosia | Agnosia, Olfactory | Agnosias, Olfactory | Olfactory Agnosias | Agnosia for Taste | Agnosia for Tastes | Gustatory Agnosia | Agnosia, Gustatory | Agnosia for Temperature | Anosognosia | Anosognosias | Auditory Agnosia | Agnosia, Auditory | Agnosias, Auditory | Auditory Agnosias | Auditory Agnosia, Congenital | Agnosia, Congenital Auditory | Agnosias, Congenital Auditory | Auditory Agnosias, Congenital | Congenital Auditory Agnosias | Congenital Auditory Agnosia | Body-Image Agnosia | Agnosia, Body-Image | Agnosias, Body-Image | Body Image Agnosia | Body-Image Agnosias | Developmental Agnosia | Agnosia, Developmental | Agnosias, Developmental | Developmental Agnosias | Finger Agnosia | Agnosia, Finger | Agnosias, Finger | Finger Agnosias | Ideational Agnosia | Agnosia, Ideational | Agnosias, Ideational | Ideational Agnosias | Position Agnosia | Agnosia, Position | Agnosias, Position | Position Agnosias | Sensory Agnosia | Agnosia, Sensory | Agnosias, Sensory | Sensory Agnosias | Somatosensory Agnosia | Agnosia, Somatosensory | Agnosias, Somatosensory | Somatosensory Agnosias | Tactile Agnosia | Agnosia, Tactile | Agnosias, Tactile | Tactile Agnosias | Time Agnosia | Agnosia, Time | Agnosias, Time | Time Agnosias | Topographical Agnosia | Agnosia, Topographical | Agnosias, Topographical | Topographical Agnosias | Visual Disorientation Syndrome | Syndrome, Visual Disorientation | Syndromes, Visual Disorientation | Visual Disorientation Syndromes | Visual Agnosia | Agnosia, Visual | Agnosias, Visual | Visual Agnosias | Visual Agnosia for Objects | Visuospatial Agnosia | Agnosia, Visuospatial | Agnosias, Visuospatial | Visuospatial Agnosias | Agnosia for Pain",10048663,agnosia
Agraphia,"Agraphia | Agraphias | Dysgraphia | Dysgraphias | Constructional Agraphia | Agraphia, Constructional | Agraphias, Constructional | Constructional Agraphias | Acquired Agraphia | Acquired Agraphias | Agraphia, Acquired | Agraphias, Acquired | Acquired Dysgraphia | Acquired Dysgraphias | Dysgraphia, Acquired | Dysgraphias, Acquired | Developmental Agraphia | Agraphia, Developmental | Agraphias, Developmental | Developmental Agraphias | Developmental Dysgraphia | Developmental Dysgraphias | Dysgraphia, Developmental | Dysgraphias, Developmental | Pure Agraphia | Agraphia, Pure | Agraphias, Pure | Pure Agraphias",10001508,agraphia
Alexia,"Alexia | Dyslexia | Dyslexias | Word Blindness | Blindness, Word | Blindnesses, Word | Word Blindnesses | Reading Disorder | Disorder, Reading | Disorders, Reading | Reading Disorders | Reading Disorder, Developmental | Developmental Reading Disorders | Disorder, Developmental Reading | Disorders, Developmental Reading | Reading Disorders, Developmental | Developmental Reading Disorder | Dyslexia, Developmental | Developmental Dyslexia | Developmental Dyslexias | Dyslexias, Developmental | Reading Disability, Developmental | Developmental Reading Disabilities | Developmental Reading Disability | Disabilities, Developmental Reading | Disability, Developmental Reading | Reading Disabilities, Developmental | Alexias",10001663,alexia
Autoscopy,Autoscopy | Autoscopic phenomena | Out of body experience,10074080,autoscopy
Balint's syndrome,Balint's syndrome,10057375,balint's syndrome
Neurologic neglect syndrome,"Neurologic neglect syndrome | Hemisensory neglect | Visual neglect | Hemispatial neglect | Hemimotor neglect | Perceptual Disorders | Perceptual Disorder | Somatosensory Discrimination Disorder | Discrimination Disorder, Somatosensory | Discrimination Disorders, Somatosensory | Somatosensory Discrimination Disorders | Sensory Neglect | Neglect, Sensory | Sensory Neglects | Hemisensory Neglect | Hemisensory Neglects | Neglect, Hemisensory | Neglects, Hemisensory | Hemispatial Neglect | Hemispatial Neglects | Neglect, Hemispatial",10029289,neurologic neglect syndrome
Altered pitch perception,Altered pitch perception,10075083,altered pitch perception
